ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
HYNE,"Hoyne Bancorp, Inc.",0002073153,high,2,28982.28,"Director; President, CEO and Director",2026-08-24,2026-08-28,0.0864,True,False,False,varied:16.36-16.59,False,False,,https://www.sec.gov/Archives/edgar/data/2073153/0001104659-26-104188.txt | https://www.sec.gov/Archives/edgar/data/2097855/0001104659-26-100943.txt
UNB,UNION BANKSHARES INC,0000706863,high,2,28520.0,Director,2026-08-25,2026-08-26,0.0308,False,False,False,varied:23.76-23.8,False,False,,https://www.sec.gov/Archives/edgar/data/1356358/0000706863-26-000075.txt | https://www.sec.gov/Archives/edgar/data/1384697/0000706863-26-000077.txt
FRST,Primis Financial Corp.,0001325670,high,2,21543.0,Director,2026-09-01,2026-09-01,0.1362,False,False,False,varied:15.6-15.75,False,False,,https://www.sec.gov/Archives/edgar/data/1325670/0001193125-26-381412.txt | https://www.sec.gov/Archives/edgar/data/1364419/0001193125-26-381567.txt
BRID,BRIDGFORD FOODS CORP,0000014177,high,2,15246.91,,2026-08-26,2026-09-02,0.1161,False,False,False,varied:6.01-6.2,False,False,,https://www.sec.gov/Archives/edgar/data/14177/0001493152-26-040905.txt | https://www.sec.gov/Archives/edgar/data/14177/0001493152-26-040906.txt | https://www.sec.gov/Archives/edgar/data/14177/0001493152-26-041332.txt
CWBC,Community West Bancshares,0001127371,high,2,6345.45,EXECUTIVE VICE PRESIDENT,2026-08-31,2026-08-31,0.0138,True,False,False,identical:21.51,False,False,,https://www.sec.gov/Archives/edgar/data/1127371/0001628280-26-059851.txt | https://www.sec.gov/Archives/edgar/data/1893153/0001628280-26-059852.txt
CZNC,CITIZENS & NORTHERN CORP,0000810958,high,2,4866.91,Director,2026-09-04,2026-09-04,0.0034,False,True,False,identical:26.1662,False,False,,https://www.sec.gov/Archives/edgar/data/810958/0001667211-26-000026.txt | https://www.sec.gov/Archives/edgar/data/810958/0001870473-26-000028.txt
KWY,KINGSWAY Corp,0001072627,high,2,4054.6,CFO & EVP; President and CEO,2026-08-31,2026-08-31,0.0011,True,False,False,identical:10.45,False,False,,https://www.sec.gov/Archives/edgar/data/1584349/0001072627-26-000051.txt | https://www.sec.gov/Archives/edgar/data/1686017/0001072627-26-000052.txt
CEPL,"Capstone Energy Plus, Inc.",0001009759,high,2,0.0,Director,2026-09-01,2026-09-01,0.0,False,False,False,unpriced,False,False,,https://www.sec.gov/Archives/edgar/data/1009759/0001009759-26-000004.txt | https://www.sec.gov/Archives/edgar/data/1009759/0001009759-26-000006.txt
DYNR,"DYNARESOURCE, INC.",0001111741,high,2,0.0,Director,2026-09-01,2026-09-01,0.436,False,False,False,unpriced,False,False,,https://www.sec.gov/Archives/edgar/data/1111741/0001193125-26-385370.txt | https://www.sec.gov/Archives/edgar/data/1111741/0001667071-26-000004.txt
GPUS,"Hyperscale Data, Inc.",0000896493,review,4,646234.41,Chief Executive Officer; Chief Financial Officer; Executive Chairman; President and General Counsel,2026-08-27,2026-09-08,1.0,True,False,False,varied:0.1863-0.3358,True,False,,https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011255.txt | https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011359.txt | https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011476.txt | https://www.sec.gov/Archives/edgar/data/1327261/0001214659-26-011479.txt | https://www.sec.gov/Archives/edgar/data/1333268/0001214659-26-011360.txt | https://www.sec.gov/Archives/edgar/data/1333268/0001214659-26-011477.txt | https://www.sec.gov/Archives/edgar/data/896493/0001214659-26-011478.txt
